ProductID,ProductName,Brand,SubCategoryID,UsageFrequency,UnitPrice,Rating,NumberOfReviews,ProductSize,SkinType,GenderTarget,PackagingType,MainIngredient,CrueltyFree2,CountryOfOrigin
1,Ultra Face Mask,Drunk Elephant,1,Weekly,67.85,1.4,686,30ml,Sensitive,Female,Tube,Retinol,0,Australia
2,Ultra Lipstick,Laura Mercier,2,Occasional,116.43,4.2,5483,250ml,Dry,Unisex,Bottle,Shea Butter,0,UK
3,Ultra Serum,Natasha Denona,3,Daily,90.84,1.6,5039,100ml,Sensitive,Male,Compact,Aloe Vera,1,Italy
4,Divine Serum,Ilia Beauty,4,Occasional,55.17,3.2,6202,250ml,Normal,Male,Tube,Glycerin,1,South Korea
5,Super Foundation,Charlotte Tilbury,3,Occasional,140.56,1.7,297,100ml,Oily,Female,Compact,Glycerin,0,Germany
6,Super Eye Shadow,Danessa Myricks,5,Weekly,135.82,3.2,9405,150ml,Sensitive,Female,Compact,Glycerin,1,UK
7,Super Lip Gloss,Bourjois,6,Monthly,148.99,2.5,2423,250ml,Normal,Female,Jar,Hyaluronic Acid,1,Germany
8,Ultra Cleanser,Bourjois,7,Daily,21.43,4.3,8032,200ml,Sensitive,Male,Bottle,Vitamin C,1,Italy
9,Magic Highlighter,IT Cosmetics,8,Occasional,113.09,3.3,2468,200ml,Combination,Unisex,Compact,Vitamin C,1,Germany
10,Perfect Bronzer,Fenty Beauty,4,Weekly,133.57,4.4,4127,150ml,Dry,Female,Compact,Hyaluronic Acid,0,Japan
11,Ultra Moisturizer,Sisley,6,Weekly,104.91,4,8876,100ml,Combination,Female,Bottle,Retinol,1,UK
12,Divine CC Cream,Juvia’s Place,9,Daily,101.88,4.7,7196,50ml,Oily,Male,Bottle,Retinol,0,Italy
13,Ultra Setting Spray,NARS,10,Occasional,34.2,1.9,4799,150ml,Oily,Unisex,Bottle,Vitamin C,0,Australia
14,Divine Primer,ColourPop,11,Occasional,96,2.2,3557,150ml,Normal,Male,Spray,Salicylic Acid,1,Germany
15,Divine Exfoliator,Huda Beauty,12,Monthly,26.21,4.9,4167,200ml,Sensitive,Unisex,Bottle,Shea Butter,1,USA
16,Perfect Blush,Tatcha,13,Daily,104.06,3.2,2802,250ml,Dry,Unisex,Compact,Shea Butter,0,UK
17,Perfect Highlighter,Kiehl’s,14,Occasional,131.95,4,4860,150ml,Combination,Female,Stick,Salicylic Acid,0,USA
18,Super Cleanser,Huda Beauty,15,Monthly,90.45,1.5,9690,150ml,Sensitive,Unisex,Tube,Salicylic Acid,1,South Korea
