OrderID,ProductID,Quantity,UnitPrice,LineTotal
ORD-0000001,8734,1,135.15,135.15
ORD-0000001,10057,2,44.09,88.18
ORD-0000002,6669,2,134.77,269.54
ORD-0000002,9077,3,69.41,208.23
ORD-0000002,7056,3,103.55,310.65
ORD-0000003,7900,3,48.07,144.21
ORD-0000003,10342,1,140.92,140.92
ORD-0000004,1007,2,63.52,127.04
ORD-0000004,2193,1,109.66,109.66
ORD-0000005,3459,3,128.01,384.03
ORD-0000005,11924,2,104.05,208.1
ORD-0000005,3696,2,113.22,226.44
ORD-0000005,13239,1,32.66,32.66
ORD-0000005,11415,3,112,336
ORD-0000006,10533,3,68.27,204.81
ORD-0000006,11460,1,147.89,147.89
ORD-0000006,11527,1,93.68,93.68
ORD-0000006,6534,1,26.11,26.11
ORD-0000006,13799,1,45.85,45.85
ORD-0000007,5488,2,135.86,271.72
ORD-0000008,8672,1,13,13
ORD-0000008,14336,1,48.95,48.95
ORD-0000008,14255,1,23.27,23.27
ORD-0000008,710,2,142.37,284.74
ORD-0000008,893,3,126.18,378.54
ORD-0000009,14612,3,124.28,372.84
ORD-0000009,1835,2,39.73,79.46
ORD-0000010,11563,2,120.15,240.3
ORD-0000010,14588,3,79.62,238.86
ORD-0000010,11419,3,145.92,437.76
ORD-0000011,4396,1,31.84,31.84
ORD-0000011,2177,2,121.79,243.58
ORD-0000012,9048,2,129.43,258.86
ORD-0000012,10283,3,145.56,436.68
ORD-0000012,4154,1,27.88,27.88
ORD-0000012,13319,2,75.76,151.52
ORD-0000012,4631,3,130.73,392.19
ORD-0000013,7051,3,145.43,436.29
ORD-0000013,11074,3,12.36,37.08
ORD-0000013,5539,3,39.7,119.1
ORD-0000013,10553,2,60.84,121.68
ORD-0000014,10941,2,132.81,265.62
ORD-0000014,7774,3,79.26,237.78
ORD-0000014,4383,2,84.71,169.42
ORD-0000014,4769,1,98.85,98.85
ORD-0000014,4804,3,128.12,384.36
ORD-0000015,2830,2,72.45,144.9
ORD-0000016,13227,3,71.31,213.93
ORD-0000016,14520,1,106.19,106.19
ORD-0000016,9929,1,24.05,24.05
ORD-0000017,359,2,26.93,53.86
ORD-0000017,10527,1,123.64,123.64
ORD-0000018,14913,2,47.65,95.3
ORD-0000018,3613,2,89.49,178.98
ORD-0000019,2619,1,28.92,28.92
ORD-0000019,14098,2,83.43,166.86
ORD-0000020,13171,1,41.07,41.07
ORD-0000020,1901,1,45.8,45.8
ORD-0000021,13213,2,99.15,198.3
ORD-0000021,13496,1,113.38,113.38
ORD-0000022,3237,1,71.85,71.85
ORD-0000022,2846,3,130.44,391.32
ORD-0000022,12232,3,29.46,88.38
ORD-0000022,8354,2,114.35,228.7
ORD-0000022,8845,1,111.11,111.11
ORD-0000023,1441,1,135.43,135.43
ORD-0000024,1946,2,18.57,37.14
ORD-0000024,14862,3,106.89,320.67
ORD-0000025,9240,2,23.7,47.4
ORD-0000025,1160,2,88.73,177.46
ORD-0000025,44,1,99.2,99.2
ORD-0000025,13624,2,76.81,153.62
ORD-0000025,2192,2,42.38,84.76
