OrderID,SalesPersonID,CustomerID,OrderDate,ShipDate,ShippingMethod,ShipMethodID,PaymentMethodID,Freight,TotalSubTotal,TotalTax/Order,TotalDue
ORD-0000001,15,2440,11-09-24,18-09-24,Standard Shipping,1,2,5,223.33,15.63,243.96
ORD-0000002,3,1848,22-02-24,29-02-24,Standard Shipping,1,2,5,788.42,55.2,848.62
ORD-0000003,26,1925,12-08-23,19-08-23,Standard Shipping,1,2,5,285.13,19.95,310.08
ORD-0000004,9,3377,06-11-24,13-11-24,Standard Shipping,1,1,5,236.7,16.57,258.27
ORD-0000005,18,2719,10-06-24,10-06-24,Pickup,3,1,0,1187.23,83.11,1270.34
ORD-0000006,19,1082,30-05-24,02-06-24,Express Shipping,2,1,15,518.34,36.29,569.63
ORD-0000007,6,1687,24-06-23,01-07-23,Standard Shipping,1,2,5,271.72,19.02,295.74
ORD-0000008,7,3329,04-01-23,11-01-23,Standard Shipping,1,2,5,748.5,52.4,805.9
ORD-0000009,4,218,13-08-23,20-08-23,Standard Shipping,1,2,5,452.3,31.66,488.96
ORD-0000010,2,1299,01-09-24,08-09-24,Standard Shipping,1,2,5,916.92,64.18,986.1
ORD-0000011,26,187,18-06-24,25-06-24,Standard Shipping,1,1,5,275.42,19.28,299.7
ORD-0000012,30,787,16-06-23,23-06-23,Standard Shipping,1,2,5,1267.13,88.7,1360.83
ORD-0000013,4,496,01-08-23,01-08-23,Pickup,3,1,0,714.15,50,764.15
ORD-0000014,20,3193,07-08-23,07-08-23,Pickup,3,1,0,1156.03,80.92,1236.95
ORD-0000015,25,920,14-07-24,21-07-24,Standard Shipping,1,2,5,144.9,10.14,160.04
ORD-0000016,23,2730,22-10-24,29-10-24,Standard Shipping,1,1,5,344.17,24.09,373.26
ORD-0000017,20,3483,30-07-23,06-08-23,Standard Shipping,1,1,5,177.5,12.42,194.92
ORD-0000018,21,3187,10-11-23,13-11-23,Express Shipping,2,2,15,274.28,19.2,308.48
ORD-0000019,9,2877,12-06-23,12-06-23,Pickup,3,2,0,195.78,13.7,209.48
ORD-0000020,24,1763,13-09-24,20-09-24,Standard Shipping,1,1,5,86.87,6.08,97.95
ORD-0000021,18,1703,09-07-23,12-07-23,Express Shipping,2,1,15,311.68,21.82,348.5
ORD-0000022,27,982,29-09-23,06-10-23,Standard Shipping,1,2,5,891.36,62.4,958.76
ORD-0000023,5,464,02-02-24,09-02-24,Standard Shipping,1,2,5,135.43,9.48,149.91
ORD-0000024,26,1342,15-07-24,22-07-24,Standard Shipping,1,1,5,357.81,25.05,387.86
ORD-0000025,18,2002,16-10-24,16-10-24,Pickup,3,2,0,562.44,39.36,601.8
ORD-0000026,26,2025,16-08-24,16-08-24,Pickup,3,2,0,695.36,48.66,744.02
ORD-0000027,2,3392,22-04-23,29-04-23,Standard Shipping,1,1,5,293.46,20.54,319
ORD-0000028,30,3498,14-12-23,21-12-23,Standard Shipping,1,1,5,448.07,31.37,484.44
ORD-0000029,30,1742,07-07-23,10-07-23,Express Shipping,2,2,15,542.98,38.01,595.99
ORD-0000030,8,644,03-08-24,10-08-24,Standard Shipping,1,2,5,924.75,64.73,994.48
ORD-0000031,6,163,29-10-23,29-10-23,Pickup,3,2,0,204.36,14.31,218.67
ORD-0000032,29,848,20-09-24,20-09-24,Pickup,3,2,0,407.64,28.54,436.18
ORD-0000033,10,2476,27-02-23,02-03-23,Express Shipping,2,2,15,437.58,30.63,483.21
ORD-0000034,20,1237,08-06-24,15-06-24,Standard Shipping,1,1,5,729.17,51.03,785.2
ORD-0000035,6,426,02-01-23,09-01-23,Standard Shipping,1,1,5,24.23,1.7,30.93
ORD-0000036,6,486,11-06-23,14-06-23,Express Shipping,2,1,15,620.94,43.46,679.4
ORD-0000037,11,3079,21-02-23,28-02-23,Standard Shipping,1,1,5,268.89,18.82,292.71
ORD-0000038,18,566,30-01-23,06-02-23,Standard Shipping,1,2,5,528.84,37.02,570.86
ORD-0000039,26,2054,23-08-24,30-08-24,Standard Shipping,1,2,5,423.69,29.66,458.35
ORD-0000040,18,1055,18-08-23,18-08-23,Pickup,3,1,0,896.2,62.73,958.93
ORD-0000041,20,2412,04-03-24,11-03-24,Standard Shipping,1,1,5,46.16,3.23,54.39
ORD-0000042,4,1336,19-02-24,22-02-24,Express Shipping,2,2,15,184.85,12.94,212.79
ORD-0000043,17,2030,23-05-24,23-05-24,Pickup,3,2,0,58.03,4.06,62.09
ORD-0000044,4,2707,26-12-23,02-01-24,Standard Shipping,1,2,5,378.55,26.5,410.05
ORD-0000045,7,2775,16-02-23,19-02-23,Express Shipping,2,2,15,321.4,22.5,358.9
ORD-0000046,18,598,17-01-24,24-01-24,Standard Shipping,1,2,5,171.54,12.01,188.55
ORD-0000047,4,412,03-07-23,06-07-23,Express Shipping,2,2,15,633.04,44.33,692.37
ORD-0000048,14,3466,08-05-24,15-05-24,Standard Shipping,1,1,5,461.41,32.3,498.71
ORD-0000049,15,632,08-12-24,08-12-24,Pickup,3,1,0,616.93,43.19,660.12
ORD-0000050,9,497,20-08-24,27-08-24,Standard Shipping,1,2,5,1145.3,80.17,1230.47
ORD-0000051,7,2016,03-09-24,06-09-24,Express Shipping,2,2,15,438.3,30.68,483.98
ORD-0000052,5,532,19-05-24,19-05-24,Pickup,3,1,0,431.94,30.23,462.17
ORD-0000053,27,2172,05-05-23,12-05-23,Standard Shipping,1,2,5,136.13,9.53,150.66
ORD-0000054,7,1725,29-08-24,05-09-24,Standard Shipping,1,1,5,838.62,58.7,902.32
